r_mm,mirror_before_um,mirror_after_um
0.0,271.19999999999993,274.3999999999999
0.002,271.19999999999993,274.3999999999999
0.004,271.19999999999993,274.3999999999999
0.006,271.19999999999993,274.3999999999999
0.008,271.19999999999993,274.3999999999999
0.01,271.19999999999993,274.3999999999999
0.012,271.19999999999993,274.3999999999999
0.014,271.19999999999993,274.3999999999999
0.016,271.19999999999993,274.3999999999999
0.018000000000000002,271.19999999999993,274.3999999999999
0.02,271.19999999999993,274.3999999999999
0.022,271.19999999999993,274.3999999999999
0.024,271.19999999999993,274.3999999999999
0.026000000000000002,271.19999999999993,274.3999999999999
0.028,271.19999999999993,274.3999999999999
0.03,271.19999999999993,274.3999999999999
0.032,271.19999999999993,274.3999999999999
0.034,271.19999999999993,274.3999999999999
0.036000000000000004,271.19999999999993,274.3999999999999
0.038,271.19999999999993,274.3999999999999
0.04,271.19999999999993,274.3999999999999
0.042,271.19999999999993,274.3999999999999
0.044,271.19999999999993,274.3999999999999
0.046,271.19999999999993,274.3999999999999
0.048,271.19999999999993,274.3999999999999
0.05,271.19999999999993,274.3999999999999
0.052000000000000005,271.19999999999993,274.3999999999999
0.054,271.19999999999993,274.3999999999999
0.056,271.19999999999993,274.3999999999999
0.058,271.19999999999993,274.3999999999999
0.06,271.19999999999993,274.3999999999999
0.062,271.19999999999993,274.3999999999999
0.064,271.19999999999993,274.3999999999999
0.066,271.19999999999993,274.3999999999999
0.068,271.19999999999993,274.3999999999999
0.07,271.19999999999993,274.3999999999999
0.07200000000000001,271.19999999999993,274.3999999999999
0.074,271.19999999999993,274.3999999999999
0.076,271.19999999999993,274.3999999999999
0.078,271.19999999999993,274.3999999999999
0.08,271.19999999999993,274.3999999999999
0.082,271.19999999999993,274.3999999999999
0.084,271.19999999999993,274.3999999999999
0.08600000000000001,271.19999999999993,274.3999999999999
0.088,271.19999999999993,274.3999999999999
0.09,271.19999999999993,274.3999999999999
0.092,271.19999999999993,274.3999999999999
0.094,271.19999999999993,274.3999999999999
0.096,271.19999999999993,274.3999999999999
0.098,271.19999999999993,274.3999999999999
0.1,271.19999999999993,274.3999999999999
0.10200000000000001,271.19999999999993,274.3999999999999
0.10400000000000001,271.19999999999993,274.3999999999999
0.106,271.19999999999993,274.3999999999999
0.108,271.19999999999993,274.3999999999999
0.11,271.19999999999993,274.3999999999999
0.112,271.19999999999993,274.3999999999999
0.114,271.19999999999993,274.3999999999999
0.116,271.19999999999993,274.3999999999999
0.11800000000000001,271.19999999999993,274.3999999999999
0.12,271.19999999999993,274.3999999999999
0.122,271.19999999999993,274.3999999999999
0.124,271.19999999999993,274.3999999999999
0.126,271.19999999999993,274.3999999999999
0.128,271.19999999999993,274.3999999999999
0.13,271.19999999999993,274.3999999999999
0.132,271.19999999999993,274.3999999999999
